TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
60, 0, Flight1, SELECTEE, 6.079590546462964E-4, -6.079590546462964E-4
60, 0, Flight1, UNKNOWN, 0.002802772401501957, -0.002802772401501957
60, 0, Flight2, SELECTEE, 0.0, 0.0
60, 0, Flight2, UNKNOWN, 0.0, 0.0
120, 0, Flight1, SELECTEE, 0.0, 0.0
120, 0, Flight1, UNKNOWN, -0.0020500991175595104, 0.0020500991175595104
120, 0, Flight2, SELECTEE, 0.0, 0.0
120, 0, Flight2, UNKNOWN, 0.0, 0.0
120, 60, Flight1, SELECTEE, 0.0, 0.0
120, 60, Flight1, UNKNOWN, -4.512552328243104E-4, 4.512552328243104E-4
120, 60, Flight2, SELECTEE, 0.0, 0.0
120, 60, Flight2, UNKNOWN, 0.0, 0.0
180, 0, Flight1, SELECTEE, 0.0, 0.0
180, 0, Flight1, UNKNOWN, -0.0013491426273300369, 0.0013491426273300369
180, 0, Flight2, SELECTEE, 0.0, 0.0
180, 0, Flight2, UNKNOWN, 0.0, 0.0
180, 60, Flight1, SELECTEE, 0.0, 0.0
180, 60, Flight1, UNKNOWN, 1.3706685792211912E-4, -1.3706685792211912E-4
180, 60, Flight2, SELECTEE, 0.0, 0.0
180, 60, Flight2, UNKNOWN, 0.0, 0.0
180, 120, Flight1, SELECTEE, 0.0, 0.0
180, 120, Flight1, UNKNOWN, -1.361841209315262E-4, 1.361841209315262E-4
180, 120, Flight2, SELECTEE, 0.0, 0.0
180, 120, Flight2, UNKNOWN, 0.0, 0.0